Datum;Werte
02.01.2012;5270000
09.01.2012;7110000
16.01.2012;7000000
23.01.2012;6310000
30.01.2012;5380000
06.02.2012;5690000
13.02.2012;5510000
20.02.2012;4390000
27.02.2012;4920000
05.03.2012;4820000
12.03.2012;4910000
19.03.2012;5280000
25.03.2012;4550000
01.04.2012;4830000
08.04.2012;4790000
15.04.2012;4970000
22.04.2012;5200000
29.04.2012;4900000
06.05.2012;5050000
13.05.2012;4930000
20.05.2012;5090000
27.05.2012;5140000
03.06.2012;5210000
10.06.2012;5470000
17.06.2012;6160000
24.06.2012;6350000
01.07.2012;6630000
08.07.2012;6800000
15.07.2012;7620000
22.07.2012;8410000
29.07.2012;8710000
05.08.2012;10870000
12.08.2012;11620000
19.08.2012;8000000
26.08.2012;10610000
02.09.2012;10200000
09.09.2012;11020000
16.09.2012;11870000
23.09.2012;12190000
30.09.2012;12400000
07.10.2012;11800000
14.10.2012;11740000
21.10.2012;11630000
29.10.2012;10700000
05.11.2012;10800000
12.11.2012;10870000
19.11.2012;11650000
26.11.2012;12480000
03.12.2012;12500000
10.12.2012;13390000
17.12.2012;13300000
24.12.2012;13310000
31.12.2012;13450000
07.01.2013;13450000
14.01.2013;14120000
21.01.2013;15700000
28.01.2013;17820000
04.02.2013;20590000
11.02.2013;23969999
18.02.2013;26809999
25.02.2013;29889999
04.03.2013;34500000
11.03.2013;46000000
18.03.2013;47400002
25.03.2013;71500000
31.03.2013;93029999
07.04.2013;162300003
14.04.2013;90000000
21.04.2013;119199997
28.04.2013;134440002
05.05.2013;115980003
12.05.2013;114820000
19.05.2013;122500000
26.05.2013;133500000
02.06.2013;122500000
09.06.2013;100440002
16.06.2013;99900002
23.06.2013;107900002
30.06.2013;97510002
07.07.2013;76500000
14.07.2013;94419998
21.07.2013;92000000
28.07.2013;98779999
04.08.2013;105120003
11.08.2013;105000000
18.08.2013;113379997
25.08.2013;122110001
01.09.2013;146009995
08.09.2013;126320000
15.09.2013;138300003
22.09.2013;134000000
29.09.2013;143880005
06.10.2013;137800003
13.10.2013;147529999
20.10.2013;186100006
28.10.2013;206910004
04.11.2013;224000000
11.11.2013;336320007
18.11.2013;528299988
25.11.2013;795010010
02.12.2013;1004390015
09.12.2013;803960022
16.12.2013;919880005
23.12.2013;639489990
30.12.2013;784960022
06.01.2014;1014739990
13.01.2014;939789978
20.01.2014;954799988
27.01.2014;1007000000
03.02.2014;953309998
10.02.2014;659570007
17.02.2014;299799988
24.02.2014;310170013
03.03.2014;544559998
10.03.2014;627049988
17.03.2014;619140015
24.03.2014;551159973
30.03.2014;446920013
06.04.2014;455690002
13.04.2014;427600006
20.04.2014;498510010
27.04.2014;443179993
04.05.2014;436049988
11.05.2014;433230011
18.05.2014;450140015
25.05.2014;570440002
01.06.2014;649789978
08.06.2014;651049988
15.06.2014;582289978
22.06.2014;603619995
29.06.2014;601059998
06.07.2014;626650024
13.07.2014;628030029
20.07.2014;620979980
27.07.2014;595030029
03.08.2014;588940002
10.08.2014;592059998
17.08.2014;485500000
24.08.2014;509709991
31.08.2014;481779999
07.09.2014;485750000
14.09.2014;477739990
21.09.2014;401619995
28.09.2014;379079987
05.10.2014;322859985
12.10.2014;373170013
19.10.2014;387279999
27.10.2014;348670013
03.11.2014;322549988
10.11.2014;362040009
